City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Luderitz,NA,-26.65,15.16,60.64,70,0,21.59,clear sky
83,Faanui,PF,-16.48,-151.75,78.62,77,13,12.82,few clouds
84,Vila Franca Do Campo,PT,37.72,-25.43,60.8,72,40,12.75,scattered clouds
85,Moree,AU,-29.47,149.85,62.6,88,90,9.17,overcast clouds
86,Carnarvon,AU,-24.87,113.63,64.4,77,90,11.41,overcast clouds
87,Port Keats,AU,-14.25,129.55,83.77,74,100,7.49,overcast clouds
88,Banda Aceh,ID,5.56,95.32,80.89,73,100,6.62,overcast clouds
89,Teya,RU,60.38,92.63,38.32,89,93,6.93,overcast clouds
90,Sile,TR,41.18,29.61,61.0,76,27,12.46,scattered clouds
91,Deputatskiy,RU,69.3,139.9,4.82,96,100,1.59,overcast clouds
92,Dwarka,IN,22.24,68.97,82.0,66,0,9.4,clear sky
93,Tessalit,ML,20.2,1.01,84.2,15,0,7.14,clear sky
94,Victoria,HK,22.29,114.16,73.99,68,98,1.01,overcast clouds
95,Bethel,US,41.37,-73.41,66.99,88,90,4.7,overcast clouds
96,Kavieng,PG,-2.57,150.8,83.66,72,58,10.94,broken clouds
97,Kodiak,US,57.79,-152.41,43.39,63,98,9.26,overcast clouds
98,Guerrero Negro,MX,27.98,-114.06,75.2,63,7,14.45,clear sky
99,Longyearbyen,SJ,78.22,15.64,17.6,78,20,3.36,few clouds
100,Avarua,CK,-21.21,-159.78,77.0,83,54,11.41,light rain
101,Lazaro Cardenas,MX,17.96,-102.2,84.9,76,71,6.96,broken clouds
102,Bambous Virieux,MU,-20.34,57.76,75.2,78,75,9.17,broken clouds
103,Formosa,AR,-26.18,-58.18,89.6,49,75,8.05,thunderstorm
104,Tezu,IN,27.92,96.17,70.63,64,0,3.33,light rain
105,Saint-Philippe,RE,-21.36,55.77,73.4,69,20,12.75,few clouds
106,Butaritari,KI,3.07,172.79,82.06,73,9,10.36,clear sky
107,Isla Vista,US,34.41,-119.86,78.01,88,90,3.36,mist
108,Fortuna,US,40.6,-124.16,64.99,67,1,18.34,clear sky
109,Sola,VU,-13.88,167.55,84.2,79,75,16.02,broken clouds
110,Cabo San Lucas,MX,22.89,-109.91,93.2,52,5,11.41,clear sky
111,Pangody,RU,65.85,74.49,20.21,98,95,7.25,overcast clouds
112,Siparia,TT,10.13,-61.5,86.0,80,42,1.01,scattered clouds
113,San Cristobal,VE,7.77,-72.22,89.6,55,40,10.29,scattered clouds
114,Khatanga,RU,71.97,102.5,3.94,92,0,8.34,clear sky
115,Alofi,NU,-19.06,-169.92,75.2,94,90,14.99,light intensity drizzle
116,Hoquiam,US,46.98,-123.89,55.99,40,75,18.34,broken clouds
117,Slidell,US,30.28,-89.78,87.8,55,40,6.93,scattered clouds
118,Salalah,OM,17.02,54.09,80.6,88,20,3.36,few clouds
119,Mersin,TR,36.86,34.65,69.8,88,1,6.93,clear sky
120,Dunedin,NZ,-45.87,170.5,55.99,59,99,8.99,overcast clouds
121,Mount Gambier,AU,-37.83,140.77,46.4,100,61,4.7,broken clouds
122,Namibe,AO,-15.2,12.15,70.07,81,99,3.27,overcast clouds
123,Bonavista,CA,48.65,-53.11,43.0,88,60,13.04,broken clouds
124,East London,ZA,-33.02,27.91,65.37,80,2,13.89,clear sky
125,Reading,GB,51.46,-0.97,57.2,87,40,14.99,scattered clouds
126,Ancud,CL,-41.87,-73.82,55.4,58,0,9.17,clear sky
127,Kingisepp,RU,59.37,28.61,40.82,93,100,9.6,light rain
128,Avera,US,33.19,-82.53,80.6,61,1,9.17,clear sky
129,Petionville,HT,18.51,-72.29,82.4,69,75,4.7,light rain
130,Port-Gentil,GA,-0.72,8.78,78.51,84,78,11.05,broken clouds
131,Vytegra,RU,61.01,36.45,29.28,96,68,4.68,broken clouds
132,Nanjing,CN,32.06,118.78,60.01,100,79,2.24,mist
133,Zhezkazgan,KZ,47.8,67.71,42.67,59,96,10.07,overcast clouds
134,Caravelas,BR,-17.71,-39.25,75.29,79,100,6.69,moderate rain
135,Otjimbingwe,NA,-22.35,16.13,64.53,44,92,1.7,overcast clouds
136,Beysehir,TR,37.68,31.72,54.48,59,45,3.69,scattered clouds
137,Maarianhamina,AX,60.1,19.93,50.0,100,90,6.93,overcast clouds
138,Padang,ID,-0.95,100.35,75.33,87,100,5.57,heavy intensity rain
139,Aracati,BR,-4.56,-37.77,80.35,78,77,13.49,broken clouds
140,Esperance,AU,-33.87,121.9,57.2,100,75,9.17,broken clouds
141,Council Bluffs,US,41.26,-95.86,48.2,70,90,8.05,overcast clouds
142,Rennes,FR,48.17,-1.67,51.8,100,3,6.93,clear sky
143,Alyangula,AU,-13.85,136.42,78.8,94,57,9.71,broken clouds
144,Bardiyah,LY,31.76,25.09,67.15,66,0,8.32,clear sky
145,Mitzic,GA,0.78,11.55,66.36,97,63,2.57,broken clouds
146,Isahaya,JP,32.84,130.04,66.2,93,75,13.87,shower rain
147,Torbay,CA,47.67,-52.73,48.0,93,90,10.29,overcast clouds
148,Raudeberg,NO,61.99,5.14,44.6,93,97,3.36,overcast clouds
149,Usinsk,RU,65.99,57.53,22.37,96,86,11.81,overcast clouds
150,Hualmay,PE,-11.1,-77.61,66.94,73,19,11.03,few clouds
151,Barra Do Garcas,BR,-15.89,-52.26,73.98,87,78,4.23,moderate rain
152,Sasni,IN,27.72,78.08,72.59,23,4,3.11,clear sky
153,Provideniya,RU,64.38,-173.3,39.2,86,90,4.47,overcast clouds
154,Te Anau,NZ,-45.42,167.72,52.72,62,66,3.27,broken clouds
155,Puerto Ayora,EC,-0.74,-90.35,77.0,69,20,13.87,few clouds
156,Cherskiy,RU,68.75,161.3,17.26,95,55,7.92,broken clouds
157,Tura,IN,25.52,90.22,69.53,96,7,2.33,clear sky
158,Cidreira,BR,-30.18,-50.21,66.38,89,100,15.59,overcast clouds
159,Atar,MR,20.52,-13.05,88.81,23,29,5.61,scattered clouds
160,Harunabad,PK,29.61,73.14,69.42,23,0,6.91,clear sky
161,Ribeira Grande,PT,38.52,-28.7,63.7,68,46,18.16,scattered clouds
162,Ahipara,NZ,-35.17,173.17,59.68,84,100,6.17,light rain
163,Bara,NG,10.37,10.73,77.38,60,0,5.1,clear sky
164,Dingle,PH,11.0,122.67,76.48,91,76,6.71,broken clouds
165,Lompoc,US,34.64,-120.46,66.99,72,1,11.41,clear sky
166,Krasnoborsk,RU,61.56,45.93,28.24,98,91,7.18,snow
167,Rincon,US,32.3,-81.24,73.99,94,90,6.44,overcast clouds
168,Lafiagi,NG,8.87,5.42,80.64,60,29,3.11,scattered clouds
169,Chara,RU,56.91,118.26,9.79,82,61,1.86,broken clouds
170,Ilulissat,GL,69.22,-51.1,28.4,68,100,3.36,overcast clouds
171,Ostrovnoy,RU,68.05,39.51,29.84,97,93,7.4,overcast clouds
172,Buraydah,SA,26.33,43.98,68.0,30,0,3.36,clear sky
173,Mahebourg,MU,-20.41,57.7,75.2,78,75,9.17,broken clouds
174,Kruisfontein,ZA,-34.0,24.73,55.13,79,0,5.19,clear sky
175,Beringovskiy,RU,63.05,179.32,40.53,79,89,8.34,overcast clouds
176,Tiksi,RU,71.69,128.87,10.67,94,100,5.35,overcast clouds
177,Cam Ranh,VN,11.92,109.16,78.8,78,75,4.7,broken clouds
178,Whitehorse,CA,60.72,-135.05,19.99,62,40,9.17,scattered clouds
179,Benxi,CN,41.29,123.77,26.6,92,0,2.24,clear sky
180,Ulaangom,MN,49.98,92.07,26.15,93,8,3.31,clear sky
181,Nome,US,64.5,-165.41,41.0,86,75,4.7,broken clouds
182,Lago Da Pedra,BR,-4.33,-45.17,86.14,41,42,4.41,scattered clouds
183,Belmonte,BR,-15.86,-38.88,78.8,69,5,12.75,clear sky
184,Tuy Hoa,VN,13.08,109.3,71.96,83,100,6.69,overcast clouds
185,Tual,ID,-5.67,132.75,82.06,81,35,8.66,scattered clouds
186,Komsomolskiy,UZ,40.43,71.72,51.8,35,75,4.7,broken clouds
187,Kargasok,RU,59.06,80.86,39.69,95,100,7.96,overcast clouds
